"filename", "language", "Dart", "comment", "blank", "total"
"d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository.dart", "Dart", 9, 0, 2, 11
"d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository_impl.dart", "Dart", 61, 6, 10, 77
"d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository_provider.dart", "Dart", 14, 0, 2, 16
"d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\forgot_password_screen.dart", "Dart", 62, 1, 7, 70
"d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\login_screen.dart", "Dart", 207, 11, 11, 229
"d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\signup_screen.dart", "Dart", 143, 0, 7, 150
"d:\VSCode\Flutter\watering_app\lib\features\authentication\providers\auth_provider.dart", "Dart", 70, 3, 12, 85
"d:\VSCode\Flutter\watering_app\lib\features\authentication\providers\auth_state.dart", "Dart", 53, 0, 9, 62
"d:\VSCode\Flutter\watering_app\lib\features\devices\data\enums\schedule_enums.dart", "Dart", 2, 2, 2, 6
"d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\device_model.dart", "Dart", 54, 0, 6, 60
"d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\history_sensor_model.dart", "Dart", 30, 0, 7, 37
"d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\history_watering_model.dart", "Dart", 30, 0, 6, 36
"d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\schedule_model.dart", "Dart", 86, 1, 8, 95
"d:\VSCode\Flutter\watering_app\lib\features\devices\data\source\device_remote.dart", "Dart", 370, 0, 19, 389
"d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository.dart", "Dart", 44, 0, 2, 46
"d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository_impl.dart", "Dart", 212, 0, 16, 228
"d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository_provider.dart", "Dart", 12, 0, 2, 14
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\all_devices_screen.dart", "Dart", 202, 11, 12, 225
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\analytics_tab_screen.dart", "Dart", 305, 28, 17, 350
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\control_tab_screen.dart", "Dart", 305, 12, 20, 337
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\device_detail_screen.dart", "Dart", 134, 0, 8, 142
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\schedule_tab_screen.dart", "Dart", 214, 43, 15, 272
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\add_new_device.dart", "Dart", 118, 1, 10, 129
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\device_grid_item.dart", "Dart", 160, 3, 5, 168
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\edit_device_dialog.dart", "Dart", 0, 0, 1, 1
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\edit_schedule_sheet.dart", "Dart", 431, 3, 30, 464
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\history_watering_data_table.dart", "Dart", 59, 0, 8, 67
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\schedule_list_item.dart", "Dart", 200, 10, 16, 226
"d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\devices_provider.dart", "Dart", 39, 0, 7, 46
"d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\devices_state.dart", "Dart", 27, 0, 6, 33
"d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\device_provider.dart", "Dart", 113, 7, 20, 140
"d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\device_state.dart", "Dart", 40, 0, 9, 49
"d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\get_history_provider.dart", "Dart", 76, 4, 14, 94
"d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\realtime_device_provider.dart", "Dart", 41, 1, 6, 48
"d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\schedule_provider.dart", "Dart", 158, 9, 21, 188
"d:\VSCode\Flutter\watering_app\lib\main.dart", "Dart", 23, 2, 3, 28
"d:\VSCode\Flutter\watering_app\lib\theme\styles.dart", "Dart", 28, 0, 4, 32
"d:\VSCode\Flutter\watering_app\lib\theme\theme.dart", "Dart", 79, 1, 3, 83
"Total", "-", 5598, 202, 508, 6308
